;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;sig
Gli1;54.06878272;-0.484788849;0.25584765;-1.894834095;0.058114385;0.999862907;Pval<0.1
Glipr2;55.58167143;-0.552648355;0.263599987;-2.096541663;0.036034168;0.961358138;Pval<0.1
Glis2;1216.16121;0.316038072;0.134379204;2.35183766;0.018680926;0.842843026;Pval<0.1
Gls2;138.7978537;-0.42044062;0.219600766;-1.914568092;0.055547608;0.999862907;Pval<0.1
Gltpd2;249.4276507;0.39852684;0.198236764;2.010357872;0.044393326;0.98354327;Pval<0.1
Glud1;2364.060213;0.115278154;0.062935181;1.831696563;0.066996641;0.999862907;Pval<0.1
Gmeb2;57.50215021;-0.403754293;0.233659073;-1.727963255;0.083994812;0.999862907;Pval<0.1
Gnai3;2775.330151;0.238125949;0.076270386;3.122128549;0.001795485;0.2929355;Pval<0.1
Gng8;35.99788813;0.70804465;0.329439009;2.149243505;0.031615102;0.943973068;Pval<0.1
Gnptg;341.7125059;-0.232113068;0.114557921;-2.026163406;0.042748042;0.98354327;Pval<0.1
Golph3;1545.596381;0.203742498;0.098589421;2.066575657;0.038774157;0.973156856;Pval<0.1
Got1l1;4.294992391;1.546475531;0.888647026;1.74025849;0.081813639;0.999862907;Pval<0.1
Gpam;58.31715624;-0.547207284;0.314999701;-1.73716763;0.082357587;0.999862907;Pval<0.1
Gper1;20.44384192;0.635563268;0.365546947;1.738663865;0.082093906;0.999862907;Pval<0.1
Gpnmb;502.9988674;0.479818956;0.224475606;2.13751046;0.032556496;0.945431849;Pval<0.1
Gpr20;20.32511113;-0.910815464;0.43528027;-2.092480469;0.036395557;0.963520872;Pval<0.1
Gpr27;2.825000438;2.027819829;1.137273547;1.783053719;0.074577559;0.999862907;Pval<0.1
Gpr31;1.302226477;-2.566837426;1.498521626;-1.712913168;0.086728515;0.999862907;Pval<0.1
Gpx1;4441.450689;0.212703974;0.088426651;2.40542837;0.016153518;0.806583686;Pval<0.1
Gpx2;70.76834252;-1.135525809;0.431135736;-2.633801175;0.008443492;0.650937526;Pval<0.1
Grap;24.37968916;-0.902577771;0.405816821;-2.22410143;0.026141621;0.919371398;Pval<0.1
Grem1;17.60646986;1.519837263;0.519091724;2.92787805;0.003412839;0.427017966;Pval<0.1
Grid1;44.17225578;-0.836654344;0.413388715;-2.023892558;0.042981208;0.98354327;Pval<0.1
Grip2;8.839005357;-1.139651284;0.592496734;-1.923472687;0.054420713;0.999862907;Pval<0.1
Grk5;231.1840058;0.234885347;0.119070484;1.972658031;0.048534537;0.999862907;Pval<0.1
Gsdma;721.8976388;0.320696392;0.175521211;1.827109044;0.067683376;0.999862907;Pval<0.1
Gsk3b;226.1223113;0.286673713;0.128083376;2.238180488;0.025209288;0.916351071;Pval<0.1
Gsta1;1642.999277;-0.370142671;0.182624432;-2.026797107;0.042683167;0.98354327;Pval<0.1
Gstk1;222.9574631;-0.34192106;0.123985723;-2.757745411;0.005820151;0.540811489;Pval<0.1
Gstm1;1319.932573;-0.33321228;0.135198366;-2.464617659;0.013715952;0.76368463;Pval<0.1
Gstm2;2041.21309;-0.574035075;0.120915225;-4.747417678;2.06E-06;0.0022237;Pval<0.1
Gstm4;528.359758;-0.223362235;0.095845247;-2.330446651;0.019782557;0.848835019;Pval<0.1
Gstm5;789.4806089;-0.435959333;0.174216232;-2.502403634;0.01233532;0.745421633;Pval<0.1
Gsto2;10.39232716;-1.026499188;0.563763391;-1.82079788;0.068637587;0.999862907;Pval<0.1
Gtf2f1;879.399572;-0.18063511;0.087046043;-2.075167391;0.037971024;0.973156856;Pval<0.1
Gucy1a1;577.8669188;0.346811092;0.161617094;2.145881246;0.031882454;0.944125075;Pval<0.1
